date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:33	173/173	---MCZ	200	added ('OK')	text/plain	date:Mon,%2008%20Jan%202024%2003:54:18%20GMT	https://nextlevel-erlebnisse.de/robots.txt		(from )
19:24:33	155099/155099	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2023:34:38%20GMT	https://nextlevel-erlebnisse.de/sandboxvr/	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/sandboxvr/index.html	(from )
19:24:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2008%20Jan%202024%2013:54:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/VR/www.googletagmanager.com/gtm.05445.delayed	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:34	144831/144831	---MCZ	200	added ('OK')	text/css	etag:W/%22235bf-5f83141516609%22	https://nextlevel-erlebnisse.de/wp-content/themes/airi/css/bootstrap/bootstrap.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/themes/airi/css/bootstrap/bootstrap.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:34	1938/1938	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202024%2013:54:36%20GMT	https://use.typekit.net/xxa5vuq.css	C:/My%20Web%20Sites/VR/use.typekit.net/xxa5vuq.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:35	2894/2894	---MCZ	200	added ('OK')	text/css	etag:W/%22b4e-60b59a1ba891e%22	https://nextlevel-erlebnisse.de/wp-content/plugins/contact-form-7/includes/css/styles.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/contact-form-7/includes/css/styles.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:35	6739/6739	---MCZ	200	added ('OK')	text/css	etag:W/%221a53-60b3c4fffd707%22	https://nextlevel-erlebnisse.de/wp-content/plugins/mailchimp-for-wp/assets/css/form-themes.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/mailchimp-for-wp/assets/css/form-themes.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:35	2741/2741	---MCZ	200	added ('OK')	text/css	etag:W/%22ab5-60b3c4edf99a8%22	https://nextlevel-erlebnisse.de/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/complianz-gdpr/assets/css/cookieblocker.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:36	99963/99963	---MCZ	200	added ('OK')	text/css	etag:W/%221867b-60d42d5bf4f9e%22	https://nextlevel-erlebnisse.de/wp-content/themes/airi/style.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/themes/airi/style.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:36	8590/8590	---MCZ	200	added ('OK')	text/css	etag:W/%22218e-60d0816260168%22	https://nextlevel-erlebnisse.de/wp-content/themes/airi-child/style.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/themes/airi-child/style.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:36	59308/59308	---MCZ	200	added ('OK')	text/css	etag:W/%22e7ac-5f831415169f1%22	https://nextlevel-erlebnisse.de/wp-content/themes/airi/css/font-awesome/css/all.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/themes/airi/css/font-awesome/css/all.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:37	19571/19571	---MCZ	200	added ('OK')	text/css	etag:W/%224c73-60bc38267ddd6%22	https://nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:37	117332/117332	---MCZ	200	added ('OK')	text/css	etag:W/%221ca54-60bc3826499e5%22	https://nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/css/frontend-lite.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/css/frontend-lite.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:37	12876/12876	---MCZ	200	added ('OK')	text/css	etag:W/%22324c-60bc382690e86%22	https://nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:38	5298/5298	---MCZ	200	added ('OK')	text/css	etag:W/%2214b2-60d08f3e070d1%22	https://nextlevel-erlebnisse.de/wp-content/uploads/elementor/css/post-226.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/uploads/elementor/css/post-226.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:38	11053/11053	---MCZ	200	added ('OK')	text/css	etag:W/%222b2d-60bc38291cc40%22	https://nextlevel-erlebnisse.de/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:39	631656/631656	---MCZ	200	added ('OK')	text/css	etag:W/%229a368-60bc388ffdc8b%22	https://nextlevel-erlebnisse.de/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/ultimate-elementor/assets/min-css/uael-frontend.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:39	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22e7d0-60bc38268203e%22	https://nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:39	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%22684e-60bc3826837ae%22	https://nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:39	69208/69208	---MCZ	200	added ('OK')	text/css	etag:W/%2210e58-60d091f1797e7%22	https://nextlevel-erlebnisse.de/wp-content/uploads/elementor/css/post-2846.css	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/uploads/elementor/css/post-2846.css	(from https://nextlevel-erlebnisse.de/sandboxvr/)
19:24:40	101137/101137	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218b11-60d091f18a957%22	https://nextlevel-erlebnisse.de/wp-content/cache/wpo-minify/1703182684/assets/wpo-minify-header-f5440c18.min.js	C:/My%20Web%20Sites/VR/nextlevel-erlebnisse.de/wp-content/cache/wpo-minify/1703182684/assets/wpo-minify-header-f5440c18.min.js	(from https://nextlevel-erlebnisse.de/sandboxvr/)
